Time,Download Speed,Upload Speed
13:36,18.36,6.31
13:37,30.84,5.57
13:39,16.23,6.55
13:40,30.76,5.85
13:41,32.58,6.03
13:43,31.23,6.22
13:44,36.21,5.59
13:45,34.46,5.91
13:47,34.49,6.3
13:48,31.93,6.54
13:49,35.37,6.56
13:51,32.68,5.62
13:52,30.55,6.28
13:54,37.29,5.8
13:55,34.54,6.19
13:56,36.39,6.62
13:58,40.21,6.38
13:59,32.36,6.58
14:00,39.2,6.96
14:02,37.02,6.64
14:03,36.13,5.7
14:04,30.1,5.82
14:06,29.81,5.11
14:07,33.33,5.76
14:09,34.75,6.08
14:10,33.32,6.56
14:11,30.48,5.14
14:13,32.72,4.28
14:14,33.49,6.46
14:15,26.24,6.7
14:17,37.32,6.58
14:18,31.3,5.93
14:20,35.24,6.27
14:21,34.32,5.67
14:22,36.91,6.59
14:24,32.43,5.55
14:25,33.31,6.4
14:26,34.22,6.19
14:28,34.25,6.47
14:29,27.08,6.13
14:30,36.5,6.69
14:32,35.77,5.31
14:33,34.82,5.61
14:35,38.03,6.07
14:36,36.04,6.15
14:37,35.09,6.23
14:39,35.63,6.83
14:40,38.86,6.48
14:41,36.11,6.84
14:43,35.76,6.72
14:44,34.37,6.83
14:45,36.92,6.04
14:47,35.34,5.72
14:48,38.01,6.54
14:49,29.51,5.66
14:51,31.93,5.03
14:52,33.97,5.54
14:54,37.83,6.09
14:55,36.76,5.04
14:56,37.24,6.47
14:58,35.46,5.7
14:59,38.49,6.61
15:00,34.37,5.68
15:02,36.38,6.6
15:03,40.54,6.86
15:05,40.79,6.8
